latitude	M_67	N_67	R_avg,67	R_G,67	M_80	N80	R_avg,80	R_G,80	
-30	6351399.104	6383504.117	6367411.142	6367431.376	6351377.104	6383480.918	6367388.545	6367408.778	
-29	6350443.496	6383183.955	6366771.635	6366792.680	6350421.532	6383160.768	6366749.062	6366770.106	
-28	6349508.742	6382870.748	6366146.037	6366167.891	6349486.812	6382847.573	6366123.487	6366145.339	
-27	6348595.963	6382564.876	6365535.102	6365557.761	6348574.067	6382541.711	6365512.575	6365535.232	
-26	6347706.257	6382266.706	6364939.567	6364963.024	6347684.393	6382243.553	6364917.063	6364940.518	
-25	6346840.690	6381976.599	6364360.151	6364384.398	6346818.859	6381953.457	6364337.668	6364361.913	
-24	6346000.300	6381694.906	6363797.551	6363822.577	6345978.500	6381671.775	6363775.088	6363800.113	
-23	6345186.095	6381421.966	6363252.444	6363278.237	6345164.325	6381398.845	6363230.002	6363255.794	
-22	6344399.049	6381158.109	6362725.487	6362752.033	6344377.308	6381134.997	6362703.065	6362729.609	
-21	6343640.104	6380903.651	6362217.315	6362244.596	6343618.391	6380880.549	6362194.911	6362222.191	
-20	6342910.167	6380658.900	6361728.537	6361756.535	6342888.482	6380635.807	6361706.152	6361734.148	
-19	6342210.112	6380424.151	6361259.741	6361288.437	6342188.453	6380401.067	6361237.374	6361266.067	
-18	6341540.775	6380199.686	6360811.492	6360840.861	6341519.140	6380176.610	6360789.141	6360818.508	
-17	6340902.953	6379985.776	6360384.327	6360414.346	6340881.343	6379962.708	6360361.992	6360392.009	
-16	6340297.410	6379782.678	6359978.759	6360009.401	6340275.822	6379759.617	6359956.439	6359987.079	
-15	6339724.866	6379590.635	6359595.276	6359626.513	6339703.299	6379567.582	6359572.970	6359604.205	
-14	6339186.004	6379409.880	6359234.336	6359266.139	6339164.457	6379386.834	6359212.044	6359243.845	
-13	6338681.467	6379240.630	6358896.374	6358928.711	6338659.939	6379217.589	6358874.094	6358906.429	
-12	6338211.855	6379083.087	6358581.794	6358614.633	6338190.344	6379060.052	6358559.526	6358592.362	
-11	6337777.728	6378937.441	6358290.974	6358324.279	6337756.233	6378914.412	6358268.717	6358302.020	
-10	6337379.601	6378803.868	6358024.263	6358057.999	6337358.121	6378780.844	6358002.015	6358035.749	
-9	6337017.950	6378682.527	6357781.979	6357816.109	6336996.483	6378659.507	6357759.741	6357793.868	
-8	6336693.203	6378573.564	6357564.413	6357598.898	6336671.749	6378550.549	6357542.183	6357576.666	
-7	6336405.748	6378477.111	6357371.826	6357406.628	6336384.304	6378454.099	6357349.603	6357384.402	
-6	6336155.926	6378393.283	6357204.449	6357239.527	6336134.491	6378370.274	6357182.232	6357217.307	
-5	6335944.033	6378322.181	6357062.481	6357097.794	6335922.606	6378299.175	6357040.270	6357075.580	
-4	6335770.322	6378263.889	6356946.093	6356981.599	6335748.902	6378240.885	6356923.886	6356959.390	
-3	6335634.999	6378218.479	6356855.425	6356891.082	6335613.583	6378195.476	6356833.221	6356868.875	
-2	6335538.225	6378186.003	6356790.584	6356826.349	6335516.813	6378163.003	6356768.382	6356804.145	
-1	6335480.114	6378166.503	6356751.648	6356787.478	6335458.704	6378143.503	6356729.448	6356765.276	
0	6335460.736	6378160.000	6356738.664	6356774.516	6335439.327	6378137.000	6356716.465	6356752.314	
1	6335480.114	6378166.503	6356751.648	6356787.478	6335458.704	6378143.503	6356729.448	6356765.276	
2	6335538.225	6378186.003	6356790.584	6356826.349	6335516.813	6378163.003	6356768.382	6356804.145	
3	6335634.999	6378218.479	6356855.425	6356891.082	6335613.583	6378195.476	6356833.221	6356868.875	
4	6335770.322	6378263.889	6356946.093	6356981.599	6335748.902	6378240.885	6356923.886	6356959.390	
5	6335944.033	6378322.181	6357062.481	6357097.794	6335922.606	6378299.175	6357040.270	6357075.580	
6	6336155.926	6378393.283	6357204.449	6357239.527	6336134.491	6378370.274	6357182.232	6357217.307	
7	6336405.748	6378477.111	6357371.826	6357406.628	6336384.304	6378454.099	6357349.603	6357384.402	
8	6336693.203	6378573.564	6357564.413	6357598.898	6336671.749	6378550.549	6357542.183	6357576.666	
9	6337017.950	6378682.527	6357781.979	6357816.109	6336996.483	6378659.507	6357759.741	6357793.868	
10	6337379.601	6378803.868	6358024.263	6358057.999	6337358.121	6378780.844	6358002.015	6358035.749	
11	6337777.728	6378937.441	6358290.974	6358324.279	6337756.233	6378914.412	6358268.717	6358302.020	
12	6338211.855	6379083.087	6358581.794	6358614.633	6338190.344	6379060.052	6358559.526	6358592.362	
13	6338681.467	6379240.630	6358896.374	6358928.711	6338659.939	6379217.589	6358874.094	6358906.429	
14	6339186.004	6379409.880	6359234.336	6359266.139	6339164.457	6379386.834	6359212.044	6359243.845	
15	6339724.866	6379590.635	6359595.276	6359626.513	6339703.299	6379567.582	6359572.970	6359604.205	
16	6340297.410	6379782.678	6359978.759	6360009.401	6340275.822	6379759.617	6359956.439	6359987.079	
17	6340902.953	6379985.776	6360384.327	6360414.346	6340881.343	6379962.708	6360361.992	6360392.009	
