Pt_ID	x_error	y_error	z_error
Pt_01	0.00025508	0.00002607	0.00012200
Pt_02	-0.00008786	-0.00003426	0.00000749
Pt_03	-0.00000616	0.00002331	-0.00008243
Pt_04	0.00023002	-0.00038463	-0.00021453
Pt_05	-0.00027990	0.00006845	0.00026670
Pt_06	0.00026502	-0.00004781	-0.00003640
Pt_07	-0.00025709	-0.00003619	0.00001529
Pt_08	0.00043611	-0.00011431	0.00005525
Pt_09	-0.00016467	-0.00032845	0.00019201
Pt_10	0.00017894	0.00036713	-0.00023569
Pt_11	0.00002684	0.00001616	-0.00000025
Pt_12	-0.00019837	-0.00042106	0.00014376
Pt_13	0.00015014	-0.00014562	0.00008734
Pt_14	-0.00025615	-0.00019468	-0.00033663
Pt_15	0.00013337	-0.00024507	-0.00001362
Pt_16	-0.00030016	-0.00000406	0.00008608
Pt_17	0.00031011	0.00013609	0.00023879
Pt_18	-0.00010003	-0.00002158	-0.00006505
Pt_19	-0.00021423	-0.00034047	0.00014462
Pt_20	-0.00003633	-0.00025987	0.00028459
Pt_21	0.00004824	-0.00004912	0.00022431
Pt_22	0.00023470	0.00024282	0.00004089
Pt_23	0.00007123	-0.00028298	0.00012660
Pt_24	-0.00001084	-0.00016925	-0.00031265
Pt_25	-0.00004308	0.00009758	0.00037553
Pt_26	0.00020355	0.00026287	-0.00015770
Pt_27	-0.00001417	0.00000864	0.00001152
Pt_28	0.00011228	0.00007506	0.00017381
Pt_29	0.00031332	-0.00027770	0.00008373
Pt_30	0.00018099	0.00011562	0.00025923
Pt_31	0.00007854	-0.00004938	0.00017837
Pt_32	-0.00037116	0.00027181	0.00004570
Pt_33	0.00008600	0.00004958	0.00004994
Pt_34	0.00005816	-0.00010012	-0.00001816
Pt_35	-0.00000450	0.00006286	0.00018714
Pt_36	0.00004748	-0.00003289	-0.00000479
Pt_37	-0.00004023	0.00002496	0.00000966
Pt_38	-0.00003615	-0.00001012	0.00000098
Pt_39	-0.00017745	0.00012842	0.00005830
Pt_40	-0.00007552	-0.00000484	-0.00013185
Pt_41	0.00003059	0.00001775	0.00000583
Pt_42	-0.00027636	-0.00008157	-0.00028290
Pt_43	0.00005745	0.00003742	-0.00001437
Pt_44	-0.00006539	-0.00015503	0.00003133
Pt_45	-0.00004844	-0.00029350	0.00033453
Pt_46	0.00011512	-0.00008660	0.00025043
Pt_47	-0.00005530	-0.00007961	0.00003140
Pt_48	0.00026278	0.00009835	-0.00020372
Pt_49	-0.00023202	0.00011902	-0.00008500
Pt_50	-0.00005186	0.00014752	0.00026049
