Obs_01	24731910.057444	-5891342.140638	-16513307.683399	-20022299.406445
Obs_02	24557121.291483	-5389677.040413	-17075488.502459	-19675292.725409
Obs_03	24379157.587142	-4904862.370151	-17634886.407895	-19290806.769014
Obs_04	24198421.490017	-4437423.153235	-18189921.807886	-18869528.886716
Obs_05	24015336.077670	-3987790.829563	-18738982.793737	-18412217.046579
Obs_06	23830343.031624	-3556301.254441	-19280460.025479	-17919706.214277
Obs_07	23643906.527501	-3143199.040934	-19812730.171060	-17392894.518968
Obs_08	23456505.964672	-2748630.582508	-20334178.215640	-16832751.611263
Obs_09	23268641.700028	-2372653.432862	-20843197.307203	-16240311.605453
Obs_10	23080827.430116	-2015216.953542	-21338187.692866	-15616675.250241
Obs_11	22893594.333177	-1676190.236157	-21817582.697431	-14963001.277679
Obs_12	22707487.380503	-1355341.087011	-22279836.740985	-14280522.637481
Obs_13	22523062.995891	-1052348.055585	-22723445.036523	-13570511.464692
Obs_14	22340890.360781	-766798.081233	-23146943.683959	-12834308.158685
Obs_15	22161543.370143	-498195.050964	-23548908.668508	-12073307.429495
Obs_16	21985606.167963	-245957.396292	-23927979.981963	-11288952.215880
Obs_17	21813664.984111	-9416.834601	-24282852.953176	-10482736.665891
Obs_18	21646305.971181	212162.082171	-24612284.031844	-9656199.981726
Obs_19	21484115.770876	419598.511847	-24915110.523808	-8810923.555544
Obs_20	21327674.133645	613774.445553	-25190234.059168	-7948531.840946
Obs_21	21177553.289570	795637.216907	-25436650.338457	-7070683.229123
Obs_22	21034312.946544	966198.826093	-25653426.131457	-6179071.231107
Obs_23	20898498.303800	1126520.466293	-25839731.698366	-5275422.266643
Obs_24	20770633.262826	1277711.411864	-25994816.854655	-4361487.963283
Obs_25	20651219.566071	1420935.049449	-26118039.690455	-3439039.738753
Obs_26	20540730.551956	1557377.807947	-26208852.921759	-2509869.590153
Obs_27	20439608.918097	1688262.642851	-26266807.639915	-1575798.905827
Obs_28	20348261.399519	1814842.010578	-26291566.158563	-638640.828675
Obs_29	20315645.536650	1938387.140411	-26282914.823335	-298220.014300
Obs_30	20240864.063996	2061894.489895	-26262634.756860	609453.537755
Obs_31	20176078.615890	2185321.237190	-26210851.798889	1515543.725573
Obs_32	20122356.032275	2310105.158088	-26128995.715580	2403066.216462
Obs_33	20078083.514674	2437381.870779	-26014924.778001	3300871.397822
Obs_34	20043900.125150	2568297.115389	-25867304.110491	4207054.934488
Obs_35	20020738.411721	2704264.979913	-25687868.774456	5104587.809123
Obs_36	20008654.735112	2846548.923238	-25477050.450255	5991713.428953
Obs_37	20007658.078710	2995924.719187	-25231423.444564	6881475.054933
Obs_38	20018204.877234	3153323.656453	-24950103.083588	7771707.391666
Obs_39	20040695.346220	3319581.191894	-24632351.903774	8660155.150062
Obs_40	20075468.887284	3495417.754137	-24277561.481575	9544497.758474
Obs_41	20122798.413802	3681417.950872	-23885285.805929	10422342.105017
Obs_42	20182883.103500	3878007.229424	-23455240.909384	11291231.490659
Obs_43	20256853.202531	4084203.023331	-22980364.196159	12162257.214962
Obs_44	20345227.354972	4299486.109460	-22459335.088937	13032078.552212
Obs_45	20447074.274697	4524622.446051	-21899033.131954	13884207.778138
Obs_46	20480380.895999	4864575.500487	-21772516.209991	13971320.137491
Obs_47	20604547.104319	5116122.445029	-21135700.801052	14836759.199770
Obs_48	20745928.493014	5370133.640253	-20440868.567469	15700204.619187
Obs_49	20904797.649938	5623007.866456	-19687200.035088	16556735.946729
Obs_50	20969730.055584	6047128.425336	-19443037.980954	16700878.686096
Obs_51	21157506.497915	6304275.855307	-18585857.486391	17565686.838043
Obs_52	21245571.907334	6761780.007288	-18251757.733184	17751569.098094
Obs_53	21464957.130943	7001521.371662	-17279204.463454	18618054.128798
Obs_54	21579476.820982	7473899.754451	-16841465.357833	18841692.843451
Obs_55	21710616.940655	7950214.789256	-16335941.712297	19098041.682876
Obs_56	21856293.630868	8428845.539587	-15772813.531368	19372619.497361
Obs_57	22020164.154789	8891413.901300	-15133402.115683	19682215.858931
Obs_58	22201382.812723	9327022.830856	-14420541.782724	20022039.356455
Obs_59	22398593.016865	9723587.891915	-13638876.299338	20387241.095727
Obs_60	22611775.476498	10060747.034887	-12785622.179022	20782525.310873
Obs_61	22730119.273454	10802763.045218	-12421386.316916	20640445.100257
Obs_62	22871935.788549	11510024.281968	-11957184.693884	20542501.675209
Obs_63	23123924.872331	11648254.886155	-10916057.248227	21048834.931936
Obs_64	23294299.170864	12219617.119069	-10313381.072586	21039762.060561
Obs_65	23475897.089592	12725246.094889	-9655512.982287	21063482.481229
Obs_66	23599045.870813	13746079.994799	-9358567.006619	20561643.662301
Obs_67	23801252.346566	14092150.158527	-8590127.940959	20674597.645292
Obs_68	24003411.811426	14333110.090339	-7804115.601212	20832328.638287
Obs_69	24159800.285566	15124979.756835	-7336463.633012	20451397.097448
Obs_70	24324493.415281	15846880.004751	-6827284.074796	20090844.131246
Obs_71	24493496.915112	16494188.914391	-6290379.866909	19755689.331266
